location,duration,entry_score,course_qualification,area_study,course_name,university_name,course_fee,course_link,intakes
Australia,3 Year(s),6.0 IELTS,Bachelor Degree,accounting,Bachelor of Accounting,Flinders University,"AUD 100,500",/global/Categories/Flinders-University/Bachelor-of-Accounting/p/PRG-AU-00065136,"march,july"
United Kingdom,3 Year(s),6.5 IELTS,Bachelor Degree with Honours,accounting,BA (Hons) Accounting and Finance,Durham University,"GBP 64,500",/global/Categories/All-Accounting/Accounting/BA-Hons-Accounting-and-Finance/p/PRG-UK-00081040,october
New Zealand,6 Year(s),6.0 IELTS,Dual (Conjoint) Degree,accounting,Bachelor of Commerce / Bachelor of Laws (Honours) Conjoint -Accounting,The University of Auckland,"NZD 227,346",/global/Categories/All-Accounting/Accounting/Bachelor-of-Commerce-Bachelor-of-Laws-Honours-Conjoint-Accounting/p/PRG-NZ-00344600,"january,feb,march,july"
Australia,2 Year(s),,Masters Degree (Coursework),accounting,Master of Commerce (Advanced Accounting CPA Australia Extension Major),Curtin University,"AUD 61,600",/global/Categories/Curtin-University/Master-of-Commerce-Advanced-Accounting-CPA-Australia-Extension-Major/p/PRG-AU-00109531,"feb,july"
United Kingdom,16 Month(s),6.5 IELTS,Masters Degree (Taught),accounting,Masters of Science in Accounting and Finance,Anglia Ruskin University,"GBP 18,533",/global/Categories/Anglia-Ruskin-University/Masters-of-Science-in-Accounting-and-Finance/p/PRG-UK-00370720,january
New Zealand,1 Year(s),,Diploma level 5,accounting,New Zealand Diploma in Business (Administration and Technology) (Level 5),Toi Ohomai Institute of Technology,"NZD 19,950",/global/Categories/Toi-Ohomai-Institute-of-Technology/New-Zealand-Diploma-in-Business-Administration-and-Technology-Level-5/p/PRG-NZ-00369897,"feb,july"
New Zealand,1 Year(s),,(Graduate) Diploma level 7,accounting,Graduate Diploma in Professional Accounting (Level 7),Nelson Marlborough Institute of Technology,"NZD 18,900",/global/Categories/Nelson-Marlborough-Institute-of-Technology/Graduate-Diploma-in-Professional-Accounting-Level-7/p/PRG-NZ-00262451,"feb,july,november"
Australia,1 Year(s),6.5 IELTS,Masters Degree (Coursework),accounting,Master of Professional Accounting (087681F),University of Wollongong,"AUD 47,088",/global/Categories/University-of-Wollongong/Master-of-Professional-Accounting-087681F/p/PRG-AU-00182367,"feb,august"
New Zealand,1 Year(s),6.5 IELTS,Masters Degree (Taught),accounting,Master of Management - Business - Taught 120 points,The University of Auckland,"NZD 57,890",/global/Categories/The-University-of-Auckland/Master-of-Management-Business-Taught-120-points/p/PRG-NZ-00370935,"march,april,september"
New Zealand,3 Year(s),6.5 IELTS,Ph.D.,accounting,Doctor of Philosophy - Accounting,The University of Auckland,"NZD 21,989",/global/Categories/The-University-of-Auckland/Doctor-of-Philosophy-Accounting/p/PRG-NZ-00074251,"march,july"
